word,category
一专多能,positive
一丝不苟,positive
一举,positive
一举两得,positive
一举多得,positive
一举成名,positive
一吐为快,positive
一家独大,positive
一帆风顺,positive
一席之地,positive
一往情深,positive
一往无前,positive
一心,positive
一心一意,positive
一把手,positive
一日千里,positive
一步到位,positive
一气呵成,positive
一流,positive
一流人才,positive
一流大学,positive
一炮打响,positive
一炮而红,positive
一站式,positive
一等奖,positive
一箭双雕,positive
一线品牌,positive
一统天下,positive
一致同意,positive
一跃,positive
一飞冲天,positive
一马当先,positive
一鸣惊人,positive
一鼓作气,positive
万众一心,positive
万众瞩目,positive
万全,positive
万岁,positive
万灵丹,positive
万能,positive
万能的,positive
万象更新,positive
万马奔腾,positive
三好,positive
三甲,positive
三级跳,positive
三连冠,positive
三连增,positive
三连板,positive
上乘,positive
上位,positive
上佳,positive
上冲,positive
上升,positive
上升幅度,positive
上升趋势,positive
上升通道,positive
上品,positive
上扬,positive
上探,positive
上攻,positive
上榜,positive
上流,positive
上涨,positive
上涨幅度,positive
上涨行情,positive
上游,positive
上破,positive
上策,positive
上行,positive
上调,positive
上进,positive
下影线,positive
不乏,positive
不亦乐乎,positive
不俗,positive
不减,positive
不凡,positive
不可动摇,positive
不可多得,positive
不可思议的,positive
不可或缺,positive
不可限量,positive
不同凡响,positive
不吝,positive
不含糊,positive
不屈不挠,positive
不差,positive
不弱,positive
不怠,positive
不愧,positive
不懈,positive
不成问题,positive
不拘一格,positive
不拘泥,positive
不断创新,positive
不断前进,positive
不断加强,positive
不断增加,positive
不断增长,positive
不断扩大,positive
不断提高,positive
不断改进,positive
不断更新,positive
不断涌现,positive
不断进步,positive
不菲,positive
不虚此行,positive
不负众望,positive
不败,positive
不败之地,positive
不跌反涨,positive
不输,positive
不错,positive
不降,positive
与众不同,positive
与众不同的,positive
专一的,positive
专业,positive
专业人士,positive
专业化,positive
专利技术,positive
专利证书,positive
专属,positive
专心,positive
专心致志,positive
专攻,positive
专注,positive
专长,positive
世界冠军,positive
世界纪录,positive
世界顶级,positive
世界领先,positive
业务创新,positive
业务发展,positive
业务合作,positive
业务精,positive
业绩增长,positive
业绩预增,positive
东山再起,positive
东风,positive
两全,positive
两连冠,positive
两连板,positive
严密,positive
严整,positive
严明,positive
严谨,positive
个性化,positive
中坚,positive
中坚力量,positive
中意,positive
中意的,positive
中标,positive
中流砥柱,positive
中等偏上,positive
中肯,positive
中选,positive
中高级,positive
丰利,positive
丰功伟绩,positive
丰厚,positive
丰富,positive
丰富多彩,positive
丰富的,positive
丰年,positive
丰收,positive
丰沃,positive
丰沛,positive
丰润,positive
丰满,positive
丰登,positive
丰盛,positive
丰硕,positive
丰硕成果,positive
丰碑,positive
丰裕,positive
丰饶的,positive
为傲,positive
为盈,positive
为荣,positive
主人翁,positive
主力军,positive
主动性,positive
主动权,positive
主升浪,positive
主导地位,positive
主将,positive
主心骨,positive
主打,positive
主推,positive
主旋律,positive
举一反三,positive
举世瞩目,positive
举世闻名,positive
举手称赞,positive
举牌,positive
举荐,positive
义不容辞,positive
义卖,positive
义无反顾,positive
义演,positive
义诊,positive
之首,positive
乐业,positive
乐事,positive
乐于,positive
乐呵呵,positive
乐园,positive
乐土,positive
乐在其中,positive
乐天,positive
乐悠悠,positive
乐意,positive
乐此不疲,positive
乐滋滋,positive
乐章,positive
乐观,positive
乐观主义的,positive
乐观的,positive
乐趣,positive
乐颠颠,positive
乘势而上,positive
乘胜,positive
乘胜追击,positive
乘风破浪,positive
买入,positive
买进,positive
了不起,positive
了不起的,positive
争先,positive
争光,positive
争气,positive
争雄,positive
事半功倍,positive
事迹,positive
二等奖,positive
互为补充,positive
互信,positive
互利,positive
互利互惠,positive
互助,positive
互助合作,positive
互惠,positive
互惠互利,positive
互敬,positive
互爱,positive
互相促进,positive
互相学习,positive
互相支持,positive
互补,positive
互补性,positive
互赢,positive
互通,positive
五一劳动奖章,positive
五连冠,positive
五连板,positive
井井有条,positive
井喷,positive
井喷式,positive
井然有序,positive
交口称誉,positive
交口称赞,positive
产业优势,positive
产品升级,positive
产销两旺,positive
亨通,positive
享受,positive
享有,positive
享有声望的,positive
享有盛誉,positive
享用,positive
享誉,positive
亮丽,positive
亮点,positive
亮相,positive
亮眼,positive
亲临,positive
亲人,positive
亲切,positive
亲切地,positive
亲切的,positive
亲和力,positive
亲密,positive
亲热,positive
亲睐,positive
亲近,positive
人尽其才,positive
人心所向,positive
人情,positive
人情味,positive
人才,positive
人才济济,positive
人才辈出,positive
人权,positive
人格,positive
人缘,positive
人道,positive
仁义,positive
仁慈,positive
仁慈的,positive
仁爱,positive
仅次于,positive
仍将保持,positive
仍看好,positive
从优,positive
从容,positive
从容不迫,positive
从容地,positive
仙境,positive
代理权,positive
令人信服地,positive
令人兴奋,positive
令人惊叹,positive
令人愉快的,positive
令人振奋,positive
令人欣慰,positive
令人满意,positive
令人满意地,positive
令人满意的,positive
令人满足,positive
令人满足的,positive
令人激动,positive
令人瞩目,positive
令人钦佩,positive
令人钦佩的,positive
令人难忘,positive
令人高兴,positive
令人高兴的事,positive
令人鼓舞的,positive
以身作则,positive
仰慕,positive
仰望,positive
价廉物美,positive
价格优势,positive
任人唯贤,positive
任劳任怨,positive
企盼,positive
企稳,positive
企稳后,positive
众人拾柴火焰高,positive
众志成城,positive
众望,positive
众望所归,positive
优,positive
优于,positive
优做,positive
优先,positive
优势,positive
优势地位,positive
优化,positive
优化组合,positive
优化结构,positive
优厚,positive
优异,positive
优待,positive
优惠,positive
优惠政策,positive
优惠条件,positive
优点,positive
优的,positive
优秀,positive
优秀人才,positive
优秀企业,positive
优秀员工,positive
优秀奖,positive
优秀成果,positive
优秀教师,positive
优秀的,positive
优等,positive
优等生,positive
优美,positive
优胜,positive
优胜者,positive
优良,positive
优良传统,positive
优良品种,positive
优良的,positive
优裕,positive
优质,positive
优质优价,positive
优质公司,positive
优质服务,positive
优质资产,positive
优越,positive
优选,positive
优雅,positive
会师,positive
会心,positive
会心一笑,positive
伟业,positive
伟人,positive
伟力,positive
伟大,positive
伟大成就,positive
伟大的,positive
伟绩,positive
传世,positive
传奇,positive
传奇人物,positive
传奇色彩,positive
传授,positive
传经,positive
传统美德,positive
传颂,positive
伯乐,positive
估值合理,positive
伴随,positive
位列,positive
位居,positive
低损耗,positive
低能耗,positive
体面,positive
余裕,positive
作出贡献,positive
佩服,positive
佳人,positive
佳作,positive
佳品,positive
佳境,positive
佳节,positive
佼佼者,positive
使命,positive
使用方便,positive
侃侃而谈,positive
依依不舍,positive
便于,positive
便利,positive
便利性,positive
便宜,positive
便捷,positive
便民,positive
便民服务,positive
促使,positive
促动,positive
促成,positive
促膝,positive
促请,positive
促进,positive
促进作用,positive
俊杰,positive
保值,positive
保持稳定,positive
保持高速,positive
保证,positive
保送,positive
信义,positive
信仰,positive
信任,positive
信守,positive
信实,positive
信心,positive
信心满满的,positive
信服,positive
信誉,positive
信赖,positive
修身,positive
俱佳,positive
倍增,positive
倔强,positive
倚重,positive
倡导,positive
倡议,positive
值得,positive
值得一提,positive
值得一提的是,positive
值得信赖,positive
值得尊敬,positive
值得尊重,positive
值得注意,positive
值得的,positive
值得称赞,positive
值得称赞的,positive
值得纪念,positive
值钱,positive
倾力,positive
倾心,positive
倾慕,positive
倾注,positive
偏强,positive
做主,positive
做优,positive
做大,positive
做强,positive
做得好,positive
健全,positive
健康,positive
偿清,positive
催人奋进,positive
傲人,positive
傲视,positive
傲视群雄,positive
像样,positive
儒商,positive
允当,positive
允许的,positive
允诺,positive
元勋,positive
充份,positive
充分,positive
充分享受,positive
充分利用,positive
充分肯定,positive
充分运用,positive
充实,positive
充沛,positive
充满希望,positive
充满活力,positive
充盈,positive
充裕,positive
充裕的,positive
充足,positive
先人后己,positive
先发优势,positive
先导,positive
先导性,positive
先机,positive
先河,positive
先知,positive
先知先觉,positive
先行,positive
先行一步的,positive
先行者,positive
先见之明,positive
先贤,positive
先进,positive
先进个人,positive
先进典型,positive
先进经验,positive
先进集体,positive
先锋,positive
先驱,positive
先驱者,positive
光亮,positive
光彩,positive
光明,positive
光明正大,positive
光明磊落,positive
光泽,positive
光滑,positive
光环,positive
光芒,positive
光芒四射,positive
光荣,positive
光荣的,positive
光辉,positive
光辉灿烂,positive
光顾,positive
光鲜,positive
克服,positive
免于,positive
免征,positive
免遭,positive
兢兢业业,positive
入主,positive
入围,positive
入场,positive
入局,positive
入榜,positive
入神,positive
入股,positive
入迷,positive
入选,positive
入驻,positive
全力,positive
全力以赴,positive
全国五一劳动奖章,positive
全心全意,positive
全才,positive
全新,positive
全盛,positive
全神贯注,positive
全线飘红,positive
全胜,positive
全面,positive
全面上涨,positive
全面发力,positive
全面完成,positive
全面实现,positive
全面推广,positive
全面提高,positive
全面解决,positive
全面铺开,positive
公司盈利,positive
公平,positive
公平合理,positive
公平竞争,positive
公开,positive
公正,positive
公益,positive
公益事业,positive
公益活动,positive
公私分明,positive
公道,positive
六连板,positive
共享资源,positive
共利,positive
共同提高,positive
关切,positive
关心,positive
关怀,positive
关怀备至,positive
关照,positive
关爱,positive
关键作用,positive
关键时刻,positive
兴奋,positive
兴奋不已,positive
兴奋的,positive
兴旺,positive
兴盛,positive
兴腾,positive
兴致勃勃,positive
兴起,positive
兴趣,positive
兴隆,positive
兴高采烈,positive
具体,positive
具有活力,positive
典型,positive
典礼,positive
典籍,positive
典范,positive
养眼,positive
兼备,positive
兼顾,positive
冀望,positive
内行,positive
冉冉升起,positive
再创,positive
再创历史新高,positive
再创新高,positive
再启动,positive
再度走强,positive
再接再厉,positive
再涨,positive
再添,positive
再生,positive
再续,positive
再迎,positive
写实,positive
写意,positive
冠以,positive
冠军,positive
冠绝,positive
冲出,positive
冲刺,positive
冲破,positive
冲锋,positive
冲锋陷阵,positive
冲高,positive
冲高至,positive
决定性,positive
决定性的,positive
决心,positive
决赛,positive
冷静,positive
净化,positive
净增,positive
准予,positive
准入,positive
准备就绪,positive
准确,positive
准确性,positive
准许,positive
减亏,positive
减员增效,positive
减排,positive
减税,positive
减负,positive
减轻,positive
凝聚力,positive
凤毛麟角,positive
凯旋,positive
凯歌,positive
出乎意料,positive
出了名,positive
出众,positive
出众的,positive
出名,positive
出头,positive
出彩,positive
出息,positive
出类拔萃,positive
出色,positive
出资,positive
击败,positive
分一杯羹,positive
分工协作,positive
分工合作,positive
分得,positive
分红,positive
分羹,positive
切入点,positive
切合,positive
切实,positive
切实加强,positive
切实有效,positive
划一,positive
划时代,positive
划算,positive
刚勇,positive
刚强,positive
刚性,positive
刚柔,positive
刚正,positive
刚毅,positive
创下,positive
创业,positive
创业精神,positive
创业项目,positive
创举,positive
创作,positive
创出,positive
创出新高,positive
创利,positive
创制,positive
创始,positive
创富,positive
创意,positive
创收,positive
创效,positive
创新,positive
创新力,positive
创新型,positive
创新奖,positive
创新性,positive
创新能力,positive
创新高,positive
创汇,positive
创立,positive
创立者,positive
创纪录,positive
创见,positive
创记录,positive
创设,positive
创造,positive
创造力,positive
创造性,positive
创造性地,positive
创造性的,positive
创造财富,positive
初具,positive
初具规模,positive
初步成效,positive
初衷,positive
初见成效,positive
初露,positive
判明,positive
利于,positive
利利共赢,positive
利器,positive
利国利民,positive
利好,positive
利好刺激,positive
利润增加,positive
利润增长点,positive
利索,positive
别具一格,positive
别出心裁,positive
别开生面,positive
别样,positive
刮目相看,positive
到位,positive
到达,positive
制胜,positive
制高点,positive
刷新,positive
刷新纪录,positive
刺激,positive
前三大,positive
前三甲,positive
前二,positive
前五,positive
前五强,positive
前列,positive
前十,positive
前四,positive
前所未有,positive
前景,positive
前沿,positive
前沿性,positive
前瞻,positive
前瞻性,positive
前程,positive
前茅,positive
前行,positive
前赴后继,positive
前辈,positive
前进,positive
前途无量,positive
前锋,positive
前驱,positive
剪彩,positive
力争,positive
力争上游,positive
力作,positive
力促,positive
力拓,positive
力挽狂澜,positive
力求,positive
力行,positive
力量,positive
功不可没,positive
功劳,positive
功勋,positive
功德,positive
功成名就,positive
功绩,positive
功能强大,positive
功能齐全,positive
功臣,positive
加力,positive
加强,positive
加快步伐,positive
加持,positive
加码,positive
加薪,positive
加速增长,positive
加配,positive
务实,positive
动人,positive
动力,positive
动容,positive
助于,positive
助推,positive
助推器,positive
助涨,positive
助益,positive
助长,positive
助阵,positive
努力,positive
励精图治,positive
劲升,positive
劲增,positive
劲胜,positive
劳动模范,positive
劳模,positive
势不可当,positive
势不可挡,positive
势在必行,positive
势如破竹,positive
勃勃,positive
勇于,positive
勇健,positive
勇往直前,positive
勇敢,positive
勇武,positive
勇气,positive
勇猛,positive
勉励,positive
勋章,positive
勤俭,positive
勤劳,positive
勤勉,positive
勤勉地,positive
勤勉的,positive
勤奋,positive
勤奋地,positive
匀称,positive
包容,positive
包容性,positive
化解,positive
化险为夷,positive
匠心,positive
匠心独运,positive
十佳,positive
十全十美,positive
十分明确,positive
十分满意,positive
