title,publication_date_index,page_url
2026年第一季度中国货币政策执行报告,2026-05-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/2026nhbzczxbg/2026052015172981527/index.html
2025年第四季度中国货币政策执行报告,2026-02-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/f5c4690f2cbd40918bf24c2d39ac58af/2026040808591661338/index.html
2025年第三季度中国货币政策执行报告,2025-11-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/f5c4690f2cbd40918bf24c2d39ac58af/2025111413250965929/index.html
2025年第二季度中国货币政策执行报告,2025-08-15,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/f5c4690f2cbd40918bf24c2d39ac58af/b3e8c1a2b07d4facb38f4a7426415252/index.html
2025年第一季度中国货币政策执行报告,2025-05-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/f5c4690f2cbd40918bf24c2d39ac58af/2025091218344076234/index.html
2024年第四季度中国货币政策执行报告,2025-02-13,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/5347949/ad0bc3efe0234fed8cc6260a134a6e95/index.html
2024年第三季度中国货币政策执行报告,2024-11-08,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/5347949/afbfa5df25ee45889d916a2819b60a43/index.html
2024年第二季度中国货币政策执行报告,2024-08-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/5347949/2025100917195573922/index.html
2024年第一季度中国货币政策执行报告,2024-05-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/5347949/4fcccad1c1b342c18c1832aa7469cac1/index.html
2023年第四季度中国货币政策执行报告,2024-02-08,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4883187/cd2196ad2fdf454a9207100c4acff45e/index.html
2023年第三季度中国货币政策执行报告,2023-11-27,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4883187/1f14dbe28ec4408cbf45cee06f86808a/index.html
2023年第二季度中国货币政策执行报告,2023-08-17,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4883187/e6dc129d48d9474cb6455691eee05766/index.html
2023年第一季度中国货币政策执行报告,2023-05-15,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4883187/487332be0c8c434aa096b8f5b8c9d66d/index.html
2022年第四季度中国货币政策执行报告,2023-02-24,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/d7e45aa7d98c4664a9a6c2393d16787d/index.html
2022年第三季度中国货币政策执行报告,2022-11-16,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/41e6caf3396f4e96b37f400bfa148b6d/index.html
2022年第二季度中国货币政策执行报告,2022-08-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/2605ad0a2ae24eae961851ce56cce8f9/index.html
2022年第一季度中国货币政策执行报告,2022-05-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4584071/b455ea168faa400199173a3f02bd2db1/index.html
2021年第四季度中国货币政策执行报告,2022-02-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/75d90372c9174bde9287c2c30935b477/index.html
2021年第三季度中国货币政策执行报告,2021-11-19,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/a44fb8cdcea94ddbaa661a88938b5337/index.html
2021年第二季度中国货币政策执行报告,2021-08-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/66040539e54c43e7b1f636a0f9e72ac5/index.html
2021年第一季度中国货币政策执行报告,2021-05-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4246985/f13557ddebc344d2951a8c6b24a1ad1b/index.html
2020年第四季度中国货币政策执行报告,2021-02-08,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/8d39aa9d730046c896289d17c09346d2/index.html
2020年第三季度中国货币政策执行报告,2020-11-26,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/d929ef3e77c149d5adf1c87316825101/index.html
2020年第二季度中国货币政策执行报告,2020-08-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/c4d5506cdc934984b4507cce3a9d6ae4/index.html
2020年第一季度中国货币政策执行报告,2020-05-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/4021036/bf7154524a46409f866ef725fabee702/index.html
2019年第四季度中国货币政策执行报告,2020-02-19,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/0ed8aaed01074d00a1403e21613d1b8e/index.html
2019年第三季度中国货币政策执行报告,2019-11-16,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/ed13cc6378964d7eb67a85649b922cd4/index.html
2019年第二季度中国货币政策执行报告,2019-08-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/51f3cba3238746d6bce56101159d931e/index.html
2019年第一季度中国货币政策执行报告,2019-05-17,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3830536/e0d70bbde6d34378bde1fcc3713126ec/index.html
2018年第四季度中国货币政策执行报告,2019-02-21,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/f8d2bf5c14f940bcb7c8bf81df786d89/index.html
2018年第三季度中国货币政策执行报告,2018-11-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/2f27ca9be95f415ab75e6f597b93e167/index.html
2018年第二季度中国货币政策执行报告,2018-08-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/5dad7896c1c945c5be61518cb4a06605/index.html
2018年第一季度中国货币政策执行报告,2018-05-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3537682/53003f83ca094cbbab9a5c6440dd148e/index.html
2017年第四季度中国货币政策执行报告,2018-02-14,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3307990/4fb4583e076a4347bea80eee7da3dc92/index.html
2017年第三季度中国货币政策执行报告,2017-11-17,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3307990/276b9e82b6be48838149ecb311300ffe/index.html
2017年第二季度中国货币政策执行报告,2017-08-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3307990/9bc9c93da8bb484ca0c0e6c5f6b340ac/index.html
2017年第一季度中国货币政策执行报告,2017-05-12,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3307990/f0b7f194d7a64548be1fa3aafbd5afd2/index.html
2016年第四季度中国货币政策执行报告,2017-02-17,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3066656/9f140965cb464e3bbd1904a84e5d7cde/index.html
2016年第三季度中国货币政策执行报告,2016-11-08,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3066656/61ed5a0548c542428584bccc244c9d5c/index.html
2016年第二季度中国货币政策执行报告,2016-08-05,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3066656/8ec329151a994928abd2960bf1cfc0d4/index.html
2016年第一季度中国货币政策执行报告,2016-05-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/3066656/1db43deb29964df79616874a1df4b2f2/index.html
2015年第四季度中国货币政策执行报告,2016-02-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/2161441/07e374fc36eb4328a61ce40bc4bf5a92/index.html
2015年第三季度中国货币政策执行报告,2015-11-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/2161441/4e34b7dafed8490d8612a70b893f479f/index.html
2015年第二季度中国货币政策执行报告,2015-08-07,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/2161441/0d7e693085b049cf8ba56a62273349f9/index.html
2015年第一季度中国货币政策执行报告,2015-05-08,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/2161441/2885737/index.html
2014年第四季度中国货币政策执行报告,2015-02-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125988/2810594/index.html
2014年第三季度中国货币政策执行报告,2014-11-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125988/2809080/index.html
2014年第二季度中国货币政策执行报告,2014-08-01,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125988/2807733/index.html
2014年第一季度中国货币政策执行报告,2014-05-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125988/2806502/index.html
2013年第四季度中国货币政策执行报告,2014-02-08,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125991/2805193/index.html
2013年第三季度中国货币政策执行报告,2013-11-05,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125991/2907288/index.html
2013年第二季度中国货币政策执行报告,2013-08-02,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125991/2869042/index.html
2013年第一季度中国货币政策执行报告,2013-05-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125991/2892009/index.html
2012年第四季度中国货币政策执行报告,2013-02-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125994/2876588/index.html
2012年第三季度中国货币政策执行报告,2012-11-02,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125994/2864248/index.html
2012年第二季度中国货币政策执行报告,2012-08-02,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125994/2863034/index.html
2012年第一季度中国货币政策执行报告,2012-05-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125994/2860527/index.html
2011年第四季度中国货币政策执行报告,2012-02-15,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125997/2857989/index.html
2011年第三季度中国货币政策执行报告,2011-11-16,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125997/2855509/index.html
2011年第二季度中国货币政策执行报告,2011-08-12,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125997/2880010/index.html
2011年第一季度中国货币政策执行报告,2011-05-03,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/125997/2851470/index.html
2010年第四季度中国货币政策执行报告,2011-01-30,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126000/2850140/index.html
2010年第三季度中国货币政策执行报告,2010-11-02,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126000/2848754/index.html
2010年第二季度中国货币政策执行报告,2010-08-05,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126000/2847219/index.html
2010年第一季度中国货币政策执行报告,2010-05-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126000/2844772/index.html
2009年第四季度中国货币政策执行报告,2010-02-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126003/2844030/index.html
2009年第三季度中国货币政策执行报告,2009-11-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126003/2843721/index.html
2009年第二季度中国货币政策执行报告,2009-08-05,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126003/2896353/index.html
2009年第一季度中国货币政策执行报告,2009-05-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126003/2843719/index.html
2008年第四季度中国货币政策执行报告,2009-02-23,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126006/2835493/index.html
2008年第三季度中国货币政策执行报告,2008-11-17,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126006/2835789/index.html
2008年第二季度中国货币政策执行报告,2008-08-15,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126006/2835780/index.html
2008年第一季度中国货币政策执行报告,2008-05-14,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126006/2835775/index.html
2007年第四季度中国货币政策执行报告,2008-02-22,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126009/2835765/index.html
2007年第三季度中国货币政策执行报告,2007-11-08,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126009/2835757/index.html
2007年第二季度中国货币政策执行报告,2007-08-08,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126009/2835753/index.html
2007年第一季度中国货币政策执行报告,2007-05-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126009/2889625/index.html
2006年第四季度中国货币政策执行报告,2007-02-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126012/2872012/index.html
2006年第三季度中国货币政策执行报告,2006-11-14,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126012/2835738/index.html
2006年第二季度中国货币政策执行报告,2006-08-10,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126012/2877308/index.html
2006年第一季度中国货币政策执行报告,2006-05-31,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126012/2835478/index.html
2005年第四季度中国货币政策执行报告,2006-02-21,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126015/2887670/index.html
2005年第三季度中国货币政策执行报告,2005-11-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126015/2835466/index.html
2005年第二季度中国货币政策执行报告,2005-08-04,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126015/2835209/index.html
2005年第一季度中国货币政策执行报告,2005-05-26,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126015/2835212/index.html
2004年第四季度中国货币政策执行报告,2005-02-28,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126018/2835144/index.html
2004年第三季度中国货币政策执行报告,2004-11-16,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126018/2835126/index.html
2004年第二季度中国货币政策执行报告,2004-08-09,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126018/2891239/index.html
2004年第一季度中国货币政策执行报告,2004-05-11,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126018/2835135/index.html
2003年第四季度中国货币政策执行报告,2004-02-26,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126021/2877272/index.html
2003年第三季度中国货币政策执行报告,2003-10-27,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126021/2873389/index.html
2003年第二季度中国货币政策执行报告,2003-08-05,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126021/2835159/index.html
2003年第一季度中国货币政策执行报告,2003-05-14,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126021/2835156/index.html
2002年第四季度中国货币政策执行报告,2003-02-20,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126024/2899201/index.html
2002年第三季度中国货币政策执行报告,2002-10-24,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126024/2835175/index.html
2002年第二季度中国货币政策执行报告,2002-08-02,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126024/2835167/index.html
2002年第一季度中国货币政策执行报告,2002-05-20,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126024/2880562/index.html
2001年第四季度中国货币政策执行报告,2002-03-06,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126027/2835199/index.html
2001年第三季度中国货币政策执行报告,2001-10-29,https://www.pbc.gov.cn/zhengcehuobisi/125207/125227/125957/126027/2835191/index.html
