event_id,report_period,publication_datetime,bond_event_date,equity_event_date,bond_window_complete_m3_p3,equity_window_complete_m3_p3,action_nearby
2006Q1,2006Q1,2006-05-31 14:12:00,2006-05-31,2006-05-31,True,True,0
2006Q2,2006Q2,2006-08-10 00:01:00,2006-08-10,2006-08-10,True,True,0
2006Q3,2006Q3,2006-11-14 17:01:00,2006-11-15,2006-11-15,True,True,0
2006Q4,2006Q4,2007-02-09 17:45:00,2007-02-12,2007-02-12,True,True,0
2007Q1,2007Q1,2007-05-10 19:40:00,2007-05-11,2007-05-11,True,True,0
2007Q2,2007Q2,2007-08-08 17:30:00,2007-08-09,2007-08-09,True,True,0
2007Q3,2007Q3,2007-11-08 17:57:00,2007-11-09,2007-11-09,True,True,0
2007Q4,2007Q4,2008-02-22 17:02:00,2008-02-25,2008-02-25,True,True,0
2008Q1,2008Q1,2008-05-14 17:59:00,2008-05-15,2008-05-15,True,True,1
2008Q2,2008Q2,2008-08-15 16:23:00,2008-08-18,2008-08-18,True,True,0
2008Q3,2008Q3,2008-11-17 18:59:00,2008-11-18,2008-11-18,True,True,0
2008Q4,2008Q4,2009-02-23 19:41:00,2009-02-24,2009-02-24,True,True,0
2009Q1,2009Q1,2009-05-06 16:10:00,2009-05-07,2009-05-07,True,True,0
2009Q2,2009Q2,2009-08-05 17:00:00,2009-08-06,2009-08-06,True,True,0
2009Q3,2009Q3,2009-11-11 16:00:00,2009-11-12,2009-11-12,True,True,0
2009Q4,2009Q4,2010-02-11 18:20:09,2010-02-12,2010-02-12,True,True,1
2010Q1,2010Q1,2010-05-10 17:30:05,2010-05-11,2010-05-11,True,True,0
2010Q2,2010Q2,2010-08-05 18:45:48,2010-08-06,2010-08-06,True,True,0
2010Q3,2010Q3,2010-11-02 18:21:02,2010-11-03,2010-11-03,True,True,0
2010Q4,2010Q4,2011-01-30 19:23:48,2011-01-31,2011-01-31,True,True,1
2011Q1,2011Q1,2011-05-03 18:35:17,2011-05-04,2011-05-04,True,True,0
2011Q2,2011Q2,2011-08-12 16:13:59,2011-08-15,2011-08-15,True,True,0
2011Q3,2011Q3,2011-11-16 15:30:00,2011-11-17,2011-11-17,True,True,0
2011Q4,2011Q4,2012-02-15 17:07:02,2012-02-16,2012-02-16,True,True,0
2012Q1,2012Q1,2012-05-10 19:02:49,2012-05-11,2012-05-11,True,True,0
2012Q2,2012Q2,2012-08-02 17:22:09,2012-08-03,2012-08-03,True,True,0
2012Q3,2012Q3,2012-11-02 18:06:12,2012-11-05,2012-11-05,True,True,0
2012Q4,2012Q4,2013-02-06 18:49:42,2013-02-07,2013-02-07,True,True,0
2013Q1,2013Q1,2013-05-09 18:43:08,2013-05-10,2013-05-10,True,True,0
2013Q2,2013Q2,2013-08-02 17:29:20,2013-08-05,2013-08-05,True,True,0
2013Q3,2013Q3,2013-11-05 16:12:14,2013-11-06,2013-11-06,True,True,0
2013Q4,2013Q4,2014-02-08 18:52:32,2014-02-10,2014-02-10,True,True,1
2014Q1,2014Q1,2014-05-06 18:55:09,2014-05-07,2014-05-07,True,True,0
2014Q2,2014Q2,2014-08-01 20:02:13,2014-08-04,2014-08-04,True,True,0
2014Q3,2014Q3,2014-11-06 17:23:57,2014-11-07,2014-11-07,True,True,0
2014Q4,2014Q4,2015-02-10 17:47:18,2015-02-11,2015-02-11,True,True,0
2015Q1,2015Q1,2015-05-08 17:51:52,2015-05-11,2015-05-11,True,True,1
2015Q2,2015Q2,2015-08-07 18:19:14,2015-08-10,2015-08-10,True,True,0
2015Q3,2015Q3,2015-11-06 19:15:23,2015-11-09,2015-11-09,True,True,0
2015Q4,2015Q4,2016-02-06 14:10:10,2016-02-06,2016-02-15,True,True,0
2016Q1,2016Q1,2016-05-06 19:57:59,2016-05-09,2016-05-09,True,True,0
2016Q2,2016Q2,2016-08-05 19:09:56,2016-08-08,2016-08-08,True,True,0
2016Q3,2016Q3,2016-11-08 19:05:39,2016-11-09,2016-11-09,True,True,0
2016Q4,2016Q4,2017-02-17 19:44:17,2017-02-20,2017-02-20,True,True,0
2017Q1,2017Q1,2017-05-12 19:47:16,2017-05-15,2017-05-15,True,True,0
2017Q2,2017Q2,2017-08-11 20:37:37,2017-08-14,2017-08-14,True,True,0
2017Q3,2017Q3,2017-11-17 22:43:24,2017-11-20,2017-11-20,True,True,0
2017Q4,2017Q4,2018-02-14 17:24:57,2018-02-22,2018-02-22,True,True,0
2018Q1,2018Q1,2018-05-11 21:09:24,2018-05-14,2018-05-14,True,True,0
2018Q2,2018Q2,2018-08-10 21:35:21,2018-08-13,2018-08-13,True,True,0
2018Q3,2018Q3,2018-11-09 22:15:03,2018-11-12,2018-11-12,True,True,0
2018Q4,2018Q4,2019-02-21 19:42:13,2019-02-22,2019-02-22,True,True,0
2019Q1,2019Q1,2019-05-17 20:24:55,2019-05-20,2019-05-20,True,True,0
