date,yield_1y,yield_5y,yield_10y,spread_10y_1y
2006-03-01,1.68,2.364,2.9,1.22
2006-03-02,1.69,2.44,2.9,1.21
2006-03-03,1.68,2.42,2.87,1.1900000000000002
2006-03-06,1.73,2.46,2.93,1.2000000000000002
2006-03-07,1.71,2.43,2.9,1.19
2006-03-08,1.69,2.4,2.88,1.19
2006-03-09,1.68,2.39,2.88,1.2
2006-03-10,1.67,2.4,2.89,1.2200000000000002
2006-03-13,1.68,2.41,2.9,1.22
2006-03-14,1.69,2.4,2.9,1.21
2006-03-15,1.71,2.4,2.91,1.2000000000000002
2006-03-16,1.72,2.39,2.91,1.1900000000000002
2006-03-17,1.7,2.37,2.92,1.22
2006-03-20,1.71,2.38,2.93,1.2200000000000002
2006-03-21,1.7,2.37,2.92,1.22
2006-03-22,1.71,2.385,2.93,1.2200000000000002
2006-03-23,1.69,2.49,2.912,1.222
2006-03-24,1.68,2.48,2.9,1.22
2006-03-27,1.7141,2.5537,2.92,1.2059
2006-03-28,1.7003,2.5631,2.92,1.2197
2006-03-29,1.7029,2.5605,2.94,1.2370999999999999
2006-03-30,1.72,2.4655,2.94,1.22
2006-03-31,1.71,2.5669,2.94,1.23
2006-04-03,1.72,2.4687,2.92,1.2
2006-04-04,1.7254,2.4804,2.92,1.1945999999999999
2006-04-05,1.702,2.4963,2.91,1.2080000000000002
2006-04-06,1.6916,2.4873,2.94,1.2484
2006-04-07,1.64,2.48,2.9291,1.2891000000000001
2006-04-10,1.6551,2.5678,2.93,1.2749000000000001
2006-04-11,1.6661,2.5816,2.97,1.3039000000000003
2006-04-12,1.6892,2.5865,2.98,1.2908
2006-04-13,1.7,2.5866,2.9405,1.2405000000000002
2006-04-14,1.7083,2.6051,2.95,1.2417000000000002
2006-04-17,1.705,2.6369,2.94,1.2349999999999999
2006-04-18,1.7077,2.6293,3.01,1.3022999999999998
2006-04-19,1.7,2.6365,3.01,1.3099999999999998
2006-04-20,1.7074,2.6029,3.0,1.2926
2006-04-21,1.72,2.605,3.048,1.328
2006-04-24,1.7023,2.6076,3.05,1.3477
2006-04-25,1.7205,2.6217,3.06,1.3395000000000001
2006-04-26,1.7,2.62,3.05,1.3499999999999999
2006-04-27,1.7331,2.6,3.01,1.2768999999999997
2006-04-28,1.721,2.56,3.01,1.2889999999999997
2006-04-29,1.7192,2.5579,3.0,1.2808
2006-04-30,1.725,2.54,3.0,1.275
2006-05-08,1.71,2.543,3.02,1.31
2006-05-09,1.71,2.52,3.0,1.29
2006-05-10,1.6883,2.5392,3.0,1.3117
2006-05-11,1.6944,2.52,3.0,1.3056
2006-05-12,1.74,2.55,3.02,1.28
2006-05-15,1.77,2.57,3.03,1.2599999999999998
2006-05-16,1.78,2.48,3.02,1.24
2006-05-17,1.75,2.45,3.0,1.25
