report_id,report_period,publication_datetime,section,char_count,sentence_count,average_sentence_length,dovish_score,hawkish_score,tone,dovish_ratio,hawkish_ratio,growth_attention,inflation_attention,risk_attention,uncertainty_attention,forward_looking_attention,match_count,dovish_count,hawkish_count,growth_count,inflation_count,risk_count,uncertainty_count,forward_looking_count,similarity,novelty,tone_change,unexpected_tone
2006Q1,2006Q1,2006-05-31 14:12:00,full,36406,529,68.82041587901702,0.0,3.0,-0.75,0.0,0.082403999340768,0.41201999670384004,0.3504916771960666,0.0741635994066912,0.06042959951656321,0.4285007965719938,53,0,3,15,12,2,2,19,,,,
2006Q2,2006Q2,2006-08-10 00:01:00,full,36356,500,72.712,0.0,10.5,-0.9130434782608695,0.0,0.28881065023654967,0.8554296402244471,0.4819011992518428,0.06601386291121135,0.11552426009461987,0.7393552646055676,94,0,8,31,16,2,4,33,0.8162778513645266,0.18372214863547343,-0.1630434782608695,
2006Q3,2006Q3,2006-11-14 17:01:00,full,32622,453,72.01324503311258,2.4000000000000004,7.0,-0.44230769230769224,0.07356998344675374,0.21457911838636504,0.5824290356201337,0.3739807491876647,0.0,0.14713996689350747,0.47820489240389935,64,3,6,19,12,0,5,19,0.848932026005396,0.15106797399460403,0.4707357859531773,0.3892140468227426
2006Q4,2006Q4,2007-02-09 17:45:00,full,37597,495,75.95353535353536,10.8,2.0,0.6376811594202899,0.2872569619916483,0.053195733702157084,0.3723701359150996,0.4042875761363938,0.0,0.0,0.38513711200361744,58,9,2,14,15,0,0,18,0.8457738490832608,0.1542261509167392,1.079988851727982,1.339464882943144
2007Q1,2007Q1,2007-05-10 19:40:00,full,36889,553,66.70705244122966,1.6,3.0,-0.25,0.04337336333324297,0.08132505624983057,0.6804196372902491,0.3415652362492884,0.0,0.09216839708314131,0.46626365583236207,66,2,3,25,12,0,3,21,0.8674035249290624,0.13259647507093764,-0.8876811594202899,0.11691750278706797
2007Q2,2007Q2,2007-08-08 17:30:00,full,42085,614,68.54234527687296,0.8,0.0,0.4444444444444445,0.019009148152548415,0.0,0.5227515741950813,1.5340382559106578,0.05702744445764524,0.12355946299156469,0.5322561482713558,117,1,0,22,59,2,5,28,0.8736404369197992,0.1263595630802008,0.6944444444444444,0.6863619472315124
2007Q3,2007Q3,2007-11-08 17:57:00,full,39980,594,67.3063973063973,1.6,0.0,0.6153846153846154,0.04002001000500251,0.0,0.5002501250625313,0.975487743871936,0.0,0.14507253626813407,1.5407703851925945,140,2,0,20,37,0,5,76,0.8870105226168462,0.11298947738315379,0.17094017094017094,0.5179301374953549
2007Q4,2007Q4,2008-02-22 17:02:00,full,42022,627,67.0207336523126,4.8,0.0,0.8275862068965517,0.11422588168102422,0.0,0.6901147018228547,1.0208938175241542,0.03569558802532007,0.19037646946837372,0.5140164675646093,106,3,0,29,39,1,7,27,0.8830813767620903,0.11691862323790969,0.2122015915119363,0.4657086520842143
2008Q1,2008Q1,2008-05-14 17:59:00,full,40712,571,71.29947460595447,14.4,3.0,0.6195652173913044,0.35370406759677736,0.07368834741599528,0.5698565533503634,1.2035763411279228,0.0,0.16702692080958928,0.7123206916879548,124,9,2,23,49,0,6,35,0.8855597871266169,0.11444021287338313,-0.20802098950524728,0.21021140070990152
2008Q2,2008Q2,2008-08-15 16:23:00,full,40263,599,67.21702838063439,2.4000000000000004,1.5,0.18367346938775517,0.05960807689441921,0.037255048059011996,0.546407371532176,0.7550356406626432,0.0794774358592256,0.3104587338250999,0.5960807689441923,99,3,1,22,30,3,11,29,0.8609709365991195,0.1390290634008805,-0.43589174800354924,-0.4430716516414738
2008Q3,2008Q3,2008-11-17 18:59:00,full,36999,565,65.48495575221239,20.8,2.7,0.7387755102040817,0.5621773561447606,0.07297494526879104,0.8729965674747965,0.38919970810021887,0.0,0.27027757506959643,0.7243439011865188,99,11,2,32,14,0,9,31,0.8409663107017797,0.15903368929822026,0.5551020408163265,0.17722313293902514
