report_id,report_period,section,found,char_count,word_count_proxy,local_path
2006Q1,2006Q1,guidance,True,1914,239,data\interim\report_sections\2006Q1_guidance.txt
2006Q1,2006Q1,macro,True,13238,1912,data\interim\report_sections\2006Q1_macro.txt
2006Q1,2006Q1,financial_market,True,11984,1694,data\interim\report_sections\2006Q1_financial_market.txt
2006Q2,2006Q2,guidance,True,1532,163,data\interim\report_sections\2006Q2_guidance.txt
2006Q2,2006Q2,macro,True,12155,1794,data\interim\report_sections\2006Q2_macro.txt
2006Q2,2006Q2,financial_market,True,5459,803,data\interim\report_sections\2006Q2_financial_market.txt
2006Q3,2006Q3,guidance,True,818,81,data\interim\report_sections\2006Q3_guidance.txt
2006Q3,2006Q3,macro,True,10037,1549,data\interim\report_sections\2006Q3_macro.txt
2006Q3,2006Q3,financial_market,True,10662,1545,data\interim\report_sections\2006Q3_financial_market.txt
2006Q4,2006Q4,guidance,True,1701,212,data\interim\report_sections\2006Q4_guidance.txt
2006Q4,2006Q4,macro,True,13126,1916,data\interim\report_sections\2006Q4_macro.txt
2006Q4,2006Q4,financial_market,True,11986,1715,data\interim\report_sections\2006Q4_financial_market.txt
2007Q1,2007Q1,guidance,True,1025,113,data\interim\report_sections\2007Q1_guidance.txt
2007Q1,2007Q1,macro,True,10844,1483,data\interim\report_sections\2007Q1_macro.txt
2007Q1,2007Q1,financial_market,True,11984,1563,data\interim\report_sections\2007Q1_financial_market.txt
2007Q2,2007Q2,guidance,True,1072,134,data\interim\report_sections\2007Q2_guidance.txt
2007Q2,2007Q2,macro,True,13779,1869,data\interim\report_sections\2007Q2_macro.txt
2007Q2,2007Q2,financial_market,True,11986,1629,data\interim\report_sections\2007Q2_financial_market.txt
2007Q3,2007Q3,guidance,True,1001,103,data\interim\report_sections\2007Q3_guidance.txt
2007Q3,2007Q3,macro,True,16898,2208,data\interim\report_sections\2007Q3_macro.txt
2007Q3,2007Q3,financial_market,True,11985,1549,data\interim\report_sections\2007Q3_financial_market.txt
2007Q4,2007Q4,guidance,True,2252,281,data\interim\report_sections\2007Q4_guidance.txt
2007Q4,2007Q4,macro,True,10937,1562,data\interim\report_sections\2007Q4_macro.txt
2007Q4,2007Q4,financial_market,True,11984,1640,data\interim\report_sections\2007Q4_financial_market.txt
2008Q1,2008Q1,guidance,True,1177,125,data\interim\report_sections\2008Q1_guidance.txt
2008Q1,2008Q1,macro,True,9985,1397,data\interim\report_sections\2008Q1_macro.txt
2008Q1,2008Q1,financial_market,True,11986,1690,data\interim\report_sections\2008Q1_financial_market.txt
2008Q2,2008Q2,guidance,True,1426,150,data\interim\report_sections\2008Q2_guidance.txt
2008Q2,2008Q2,macro,True,13732,2028,data\interim\report_sections\2008Q2_macro.txt
2008Q2,2008Q2,financial_market,True,11983,1736,data\interim\report_sections\2008Q2_financial_market.txt
2008Q3,2008Q3,guidance,True,886,94,data\interim\report_sections\2008Q3_guidance.txt
2008Q3,2008Q3,macro,True,15492,2209,data\interim\report_sections\2008Q3_macro.txt
2008Q3,2008Q3,financial_market,True,11983,1647,data\interim\report_sections\2008Q3_financial_market.txt
2008Q4,2008Q4,guidance,True,1478,148,data\interim\report_sections\2008Q4_guidance.txt
2008Q4,2008Q4,macro,True,15405,1959,data\interim\report_sections\2008Q4_macro.txt
2008Q4,2008Q4,financial_market,True,11984,1543,data\interim\report_sections\2008Q4_financial_market.txt
2009Q1,2009Q1,guidance,True,1170,121,data\interim\report_sections\2009Q1_guidance.txt
2009Q1,2009Q1,macro,True,12450,1912,data\interim\report_sections\2009Q1_macro.txt
2009Q1,2009Q1,financial_market,True,11984,1779,data\interim\report_sections\2009Q1_financial_market.txt
2009Q2,2009Q2,guidance,True,1088,116,data\interim\report_sections\2009Q2_guidance.txt
2009Q2,2009Q2,macro,True,10058,1355,data\interim\report_sections\2009Q2_macro.txt
2009Q2,2009Q2,financial_market,True,11984,1687,data\interim\report_sections\2009Q2_financial_market.txt
2009Q3,2009Q3,guidance,True,1229,126,data\interim\report_sections\2009Q3_guidance.txt
2009Q3,2009Q3,macro,True,12759,1866,data\interim\report_sections\2009Q3_macro.txt
2009Q3,2009Q3,financial_market,True,11984,1713,data\interim\report_sections\2009Q3_financial_market.txt
2009Q4,2009Q4,guidance,True,1400,159,data\interim\report_sections\2009Q4_guidance.txt
2009Q4,2009Q4,macro,True,15756,2162,data\interim\report_sections\2009Q4_macro.txt
2009Q4,2009Q4,financial_market,True,11984,1599,data\interim\report_sections\2009Q4_financial_market.txt
2010Q1,2010Q1,guidance,True,1311,140,data\interim\report_sections\2010Q1_guidance.txt
2010Q1,2010Q1,macro,True,17221,2471,data\interim\report_sections\2010Q1_macro.txt
2010Q1,2010Q1,financial_market,True,11984,1741,data\interim\report_sections\2010Q1_financial_market.txt
2010Q2,2010Q2,guidance,True,1416,152,data\interim\report_sections\2010Q2_guidance.txt
2010Q2,2010Q2,macro,True,16054,2397,data\interim\report_sections\2010Q2_macro.txt
2010Q2,2010Q2,financial_market,True,11985,1825,data\interim\report_sections\2010Q2_financial_market.txt
2010Q3,2010Q3,guidance,True,1575,167,data\interim\report_sections\2010Q3_guidance.txt
2010Q3,2010Q3,macro,True,12137,1725,data\interim\report_sections\2010Q3_macro.txt
2010Q3,2010Q3,financial_market,True,11985,1719,data\interim\report_sections\2010Q3_financial_market.txt
2010Q4,2010Q4,guidance,True,362,40,data\interim\report_sections\2010Q4_guidance.txt
2010Q4,2010Q4,macro,True,11276,1618,data\interim\report_sections\2010Q4_macro.txt
2010Q4,2010Q4,financial_market,True,11984,1742,data\interim\report_sections\2010Q4_financial_market.txt
2011Q1,2011Q1,guidance,True,1692,175,data\interim\report_sections\2011Q1_guidance.txt
2011Q1,2011Q1,macro,True,19880,3166,data\interim\report_sections\2011Q1_macro.txt
2011Q1,2011Q1,financial_market,True,11984,1934,data\interim\report_sections\2011Q1_financial_market.txt
