event_id,report_period,publication_datetime,bond_event_date,equity_event_date,market_type,relative_day,calendar_date,yield_1y,yield_5y,yield_10y,index_close,index_return,action_nearby
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,bond,-3,2026-02-06,1.3207,1.5552,1.8102,,,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,bond,-2,2026-02-09,1.3153,1.5533,1.8114,,,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,bond,-1,2026-02-10,1.3151,1.5487,1.8094,,,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,bond,0,2026-02-11,1.3141,1.5435,1.7994,,,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,bond,1,2026-02-12,1.3164,1.5387,1.7893,,,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,bond,2,2026-02-13,1.3168,1.544,1.7928,,,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,bond,3,2026-02-14,1.3145,1.5366,1.7899,,,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,equity,-3,2026-02-06,,,,4643.596,,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,equity,-2,2026-02-09,,,,4719.056,0.016250337023289818,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,equity,-1,2026-02-10,,,,4724.296,0.0011103915698396083,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,equity,0,2026-02-11,,,,4713.819,-0.002217684920673868,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,equity,1,2026-02-12,,,,4719.578,0.001221727011580187,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,equity,2,2026-02-13,,,,4660.406,-0.012537561620975524,0
2025Q4,2025Q4,2026-02-10 19:23:18,2026-02-11,2026-02-11,equity,3,2026-02-24,,,,4707.544,0.010114569417342567,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,bond,-3,2025-02-11,1.2667,1.4279,1.6274,,,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,bond,-2,2025-02-12,1.2671,1.438,1.6336,,,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,bond,-1,2025-02-13,1.2846,1.448,1.6346,,,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,bond,0,2025-02-14,1.3795,1.4804,1.6546,,,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,bond,1,2025-02-17,1.419,1.5035,1.6934,,,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,bond,2,2025-02-18,1.458,1.5335,1.7006,,,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,bond,3,2025-02-19,1.4619,1.5029,1.6626,,,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,equity,-3,2025-02-11,,,,3883.135,,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,equity,-2,2025-02-12,,,,3919.862,0.009458079618658521,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,equity,-1,2025-02-13,,,,3905.14,-0.003755744462432653,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,equity,0,2025-02-14,,,,3939.009,0.00867292849936252,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,equity,1,2025-02-17,,,,3947.398,0.0021297234913655316,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,equity,2,2025-02-18,,,,3912.783,-0.008769067623786708,0
2024Q4,2024Q4,2025-02-13 17:05:21,2025-02-14,2025-02-14,equity,3,2025-02-19,,,,3940.16,0.006996810198776737,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,bond,-3,2024-02-06,1.9269,2.3329,2.4525,,,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,bond,-2,2024-02-07,1.9287,2.2985,2.4153,,,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,bond,-1,2024-02-08,1.9265,2.2885,2.4379,,,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,bond,0,2024-02-09,1.9265,2.2885,2.4302,,,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,bond,1,2024-02-18,1.9292,2.2972,2.4393,,,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,bond,2,2024-02-19,1.9157,2.3058,2.4344,,,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,bond,3,2024-02-20,1.8649,2.2759,2.4134,,,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,equity,-3,2024-02-06,,,,3311.692,,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,equity,-2,2024-02-07,,,,3343.63,0.00964401278862903,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,equity,-1,2024-02-08,,,,3364.93,0.006370322075109902,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,equity,0,2024-02-19,,,,3403.808,0.011553880764235913,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,equity,1,2024-02-20,,,,3410.854,0.002070034502533513,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,equity,2,2024-02-21,,,,3456.871,0.013491342637357073,0
2023Q4,2023Q4,2024-02-08 18:19:21,2024-02-09,2024-02-19,equity,3,2024-02-22,,,,3486.675,0.008621669712291835,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,bond,-3,2023-02-22,2.24,2.7342,2.9175,,,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,bond,-2,2023-02-23,2.2603,2.7446,2.922,,,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,bond,-1,2023-02-24,2.2948,2.7395,2.9126,,,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,bond,0,2023-02-27,2.3165,2.7398,2.9117,,,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,bond,1,2023-02-28,2.3291,2.7374,2.9017,,,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,bond,2,2023-03-01,2.3197,2.7354,2.8977,,,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,bond,3,2023-03-02,2.3247,2.7513,2.9111,,,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,equity,-3,2023-02-22,,,,4106.951,,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,equity,-2,2023-02-23,,,,4103.646,-0.0008047332437129961,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,equity,-1,2023-02-24,,,,4061.046,-0.010381012397268186,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,equity,0,2023-02-27,,,,4043.844,-0.00423585450644981,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,equity,1,2023-02-28,,,,4069.459,0.006334319523700671,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,equity,2,2023-03-01,,,,4126.942,0.014125464834514823,0
2022Q4,2022Q4,2023-02-24 18:32:30,2023-02-27,2023-02-27,equity,3,2023-03-02,,,,4117.738,-0.002230222765427725,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,bond,-3,2022-02-09,1.9001,2.4345,2.7328,,,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,bond,-2,2022-02-10,1.8837,2.4318,2.7328,,,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,bond,-1,2022-02-11,1.9192,2.5001,2.7891,,,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,bond,0,2022-02-14,1.9017,2.5214,2.8018,,,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,bond,1,2022-02-15,1.8847,2.5169,2.7968,,,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,bond,2,2022-02-16,1.9279,2.497,2.7892,,,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,bond,3,2022-02-17,1.9095,2.4799,2.7799,,,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,equity,-3,2022-02-09,,,,4652.061,,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,equity,-2,2022-02-10,,,,4639.863,-0.002622063640180028,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,equity,-1,2022-02-11,,,,4601.395,-0.0082907620332755,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,equity,0,2022-02-14,,,,4551.688,-0.010802593561300533,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,equity,1,2022-02-15,,,,4600.103,0.01063671323693538,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,equity,2,2022-02-16,,,,4617.989,0.0038881738082821027,0
2021Q4,2021Q4,2022-02-11 19:33:17,2022-02-14,2022-02-14,equity,3,2022-02-17,,,,4629.165,0.002420101043982603,0
