dataset_name,source_organization,source_url,retrieval_method,retrieved_at,coverage_start,coverage_end,raw_filename,sha256,license_or_terms,redistribution_allowed,notes
pbc_report_2006Q1,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11620_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2006Q1,2006Q1,data\raw\pbc_reports\2006Q1_2006年第一季度中国货币政策执行报告.pdf,6271fe39a31aa0962e0f597d3e77a61a9b81da125acbeaa4a5e847276729c584,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2006Q2,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11621_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2006Q2,2006Q2,data\raw\pbc_reports\2006Q2_2006年第二季度中国货币政策执行报告.pdf,91c709f684116b2dbbd23f80cce1b3b0b6e200ab29b2f83a0f50a38ee8b6a587,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2006Q3,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11623_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2006Q3,2006Q3,data\raw\pbc_reports\2006Q3_2006年第三季度中国货币政策执行报告.pdf,8ff34a4756045bf7d647381adc39fe6352aacda912a4f48948bdc0fde885ee25,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2006Q4,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11624_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2006Q4,2006Q4,data\raw\pbc_reports\2006Q4_2006年第四季度中国货币政策执行报告.pdf,ed9af5eb7b967b6e0d7e3b9fe19c8bb7879708e156ab267f8dca9549b4d0cd80,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2007Q1,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11627_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2007Q1,2007Q1,data\raw\pbc_reports\2007Q1_2007年第一季度中国货币政策执行报告.pdf,94d6e6fae84d66c99992ad7139d0954a9f18c6bab39c5e63bdb0784931f318c2,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2007Q2,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11628_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2007Q2,2007Q2,data\raw\pbc_reports\2007Q2_2007年第二季度中国货币政策执行报告.pdf,30095f126295cebda945706fc4130ec6b864c714ff0e240850e82d211bc03571,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2007Q3,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11629_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2007Q3,2007Q3,data\raw\pbc_reports\2007Q3_2007年第三季度中国货币政策执行报告.pdf,d72f599a7d547c4d74a8387e6a344dc98d2271779f83c98bdc7da46b9d87cf5f,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2007Q4,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11630_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2007Q4,2007Q4,data\raw\pbc_reports\2007Q4_2007年第四季度中国货币政策执行报告.pdf,28f7d4b0e763ed380c8bbdec9eba4c7af1f5471761bcd409e7e4d7905d265ba0,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2008Q1,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11631_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2008Q1,2008Q1,data\raw\pbc_reports\2008Q1_2008年第一季度中国货币政策执行报告.pdf,dafab0c0d6d533367999b6015a6757e0429cc12076034b91b183be8fcbce8c53,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
pbc_report_2008Q2,中国人民银行,https://www.pbc.gov.cn/eportal/fileDir/history_file/files/att_11632_1.pdf,requests download from PBC PDF attachment,2026-06-19T17:11:42+08:00,2008Q2,2008Q2,data\raw\pbc_reports\2008Q2_2008年第二季度中国货币政策执行报告.pdf,57e3888258f21fc11867ca3b9bcae9f630b2e56030b968fb8601d2aa1756afef,PBC public website; redistribution terms not separately confirmed,unknown,Official monetary policy implementation report PDF.
